author_id,prof_id,prof_name,total,capped_total,query
56709531800,TEC-001,"Molina-Perez, Edmundo",15,15,AU-ID(56709531800) AND PUBYEAR > 2018 AND PUBYEAR < 2026
7202194915,TEC-002,"Stein, Ernesto H.",6,6,AU-ID(7202194915) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57215937382,TEC-003,"Bernal-Serrano, Daniel",15,15,AU-ID(57215937382) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57205638710,TEC-004,"Aguilar-Gomez, Sandra",10,10,AU-ID(57205638710) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57190304109,TEC-005,"Campos-Rivera, Paola Abril",1,1,AU-ID(57190304109) AND PUBYEAR > 2018 AND PUBYEAR < 2026
60054037400,TEC-006,"Garcia, Magdalena",1,1,AU-ID(60054037400) AND PUBYEAR > 2018 AND PUBYEAR < 2026
55349505800,TEC-007,"Duran-Fernandez, Roberto",3,3,AU-ID(55349505800) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57015987800,TEC-008,"Santos, Miguel Angel",1,1,AU-ID(57015987800) AND PUBYEAR > 2018 AND PUBYEAR < 2026
7003635400,TEC-009,"Popper, Steven W.",9,9,AU-ID(7003635400) AND PUBYEAR > 2018 AND PUBYEAR < 2026
54997963100,TEC-010,"Peraza-Mues, Gonzalo G.",8,8,AU-ID(54997963100) AND PUBYEAR > 2018 AND PUBYEAR < 2026
59573511100,TEC-011,"Sobrino, Fernanda",7,7,AU-ID(59573511100) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57216153915,TEC-012,"Benavides-Rincon, Guillermina",4,4,AU-ID(57216153915) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57282638100,TEC-013,"Morales-Arilla, Jose",7,7,AU-ID(57282638100) AND PUBYEAR > 2018 AND PUBYEAR < 2026
55971186800,TEC-014,"Contreras-Loya, David",9,9,AU-ID(55971186800) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57205704459,TEC-015,"Ponce-Lopez, Roberto",14,14,AU-ID(57205704459) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57219596780,TEC-016,"Gomez-Zaldivar, Fernando",10,10,AU-ID(57219596780) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57216353171,TEC-017,"Syme, James",4,4,AU-ID(57216353171) AND PUBYEAR > 2018 AND PUBYEAR < 2026
55581628300,TEC-018,"Diaz-Dominguez, Alejandro",13,13,AU-ID(55581628300) AND PUBYEAR > 2018 AND PUBYEAR < 2026
57212534001,TEC-019,"Silverio-Murillo, Adan",26,26,AU-ID(57212534001) AND PUBYEAR > 2018 AND PUBYEAR < 2026
36855894400,TEC-020,"Villarreal, Héctor J.",3,3,AU-ID(36855894400) AND PUBYEAR > 2018 AND PUBYEAR < 2026
56013629800,TEC-021,"De Unánue, Adolfo",4,4,AU-ID(56013629800) AND PUBYEAR > 2018 AND PUBYEAR < 2026
